feature_name,importance
median_income,0.4404600940221409
INLAND,0.16361845684233497
longitude,0.1174027390020322
latitude,0.11389393427437568
housing_median_age,0.04085088407270925
population,0.036931231493248104
total_rooms,0.028001516193837332
total_bedrooms,0.0258245791502115
households,0.019976334129427627
NEAR OCEAN,0.007995280280232449
<1H OCEAN,0.0036472137828799803
NEAR BAY,0.0013977367565698522
